Date,Index,Price (actual),Price,Price.lower,Price.upper
2020-09-24,Europe,1563.352,1686.7374424717047,1118.7269933994391,1776.2026659580329
2020-09-24,North America,3280.407,3044.772592698855,2861.4475884019803,3528.015681468386
2020-09-24,Pacific,2661.109,2678.571400720125,2171.4584807982496,2928.4787667357496
2020-09-24,World,2300.297,2370.892251170924,2022.0548258779552,2662.3686889638925
2020-09-25,EMU,182.326,201.14602407211507,55.240882543794754,216.04476711410723
2020-09-25,Emerging Markets,1059.102,1091.9862968087164,852.0261817208257,1249.6262499825445
2020-09-25,Europe,1558.595,1690.1409236162174,1122.1304745439518,1779.6061471025455
2020-09-25,North America,3335.141,3026.2961884124375,2842.9711841155627,3509.5392771819684
2020-09-25,Pacific,2674.572,2659.277106440207,2152.1641865183315,2909.1844724558314
2020-09-25,World,2326.853,2375.8782535949613,2027.0408283019926,2667.35469138793
2020-09-28,EMU,187.347,201.0716703116617,55.16652878334139,215.9704133536539
2020-09-28,Emerging Markets,1069.877,1093.804079492831,853.8439644049404,1251.4440326666593
2020-09-28,Europe,1596.385,1685.3412820913657,1117.3308330191,1774.8065055776938
2020-09-28,North America,3388.669,2998.918973592005,2815.59396929513,3482.162062361536
2020-09-28,Pacific,2703.919,2640.314241634732,2133.2013217128565,2890.2216076503564
2020-09-28,World,2366.406,2375.433243568417,2026.5958182754482,2666.9096813613855
2020-09-29,EMU,188.049,199.9889599189499,54.083818390629574,214.88770296094208
2020-09-29,Emerging Markets,1068.788,1094.5565076878101,854.5963925999195,1252.1964608616383
2020-09-29,Europe,1599.51,1645.3923350068142,1077.3818859345486,1734.8575584931423
2020-09-29,North America,3373.236,2866.7329607084944,2683.4079564116196,3349.9760494780253
2020-09-29,Pacific,2701.783,2575.212557184364,2068.0996372624886,2825.1199231999885
2020-09-29,World,2359.634,2374.074644148299,2025.2372188553302,2665.5510819412675
2020-09-30,EMU,187.323,199.577061312202,53.67191978388169,214.47580435419417
2020-09-30,Emerging Markets,1081.996,1094.4540362996636,854.4939212117729,1252.0939894734918
2020-09-30,Europe,1596.249,1661.2649354899636,1093.254486417698,1750.7301589762917
2020-09-30,North America,3399.054,2546.334920126819,2363.009915829944,3029.5780088963497
2020-09-30,Pacific,2661.982,2575.9347929607675,2068.821873038892,2825.842158976392
2020-09-30,World,2367.27,2377.6703007049186,2028.83287541195,2669.1467384978873
2020-10-01,EMU,187.96,199.71896663552178,53.81382510720147,214.61770967751397
2020-10-01,Emerging Markets,1084.835,1096.02366210083,856.0635470129394,1253.6636152746582
2020-10-01,Europe,1600.032,1673.0269176471475,1105.0164685748819,1762.4921411334756
2020-10-01,North America,3421.987,2532.3584834345306,2349.033479137656,3015.6015722040615
2020-10-01,Pacific,2666.986,2611.3106972156647,2104.1977772937894,2861.2180632312893
2020-10-01,World,2380.021,2379.743000155816,2030.9055748628473,2671.2194379487846
2020-10-02,EMU,187.628,200.68939498495274,54.78425345663243,215.58813802694493
2020-10-02,Emerging Markets,1081.706,1111.237417456051,871.2773023681602,1268.8773706298791
2020-10-02,Europe,1601.383,1676.6854061677725,1108.674957095507,1766.1506296541006
2020-10-02,North America,3389.198,2493.0977173170677,2309.772713020193,2976.3408060865986
2020-10-02,Pacific,2646.523,2641.1171411237315,2134.004221201856,2891.024507139356
2020-10-02,World,2362.406,2379.8875820810176,2031.050156788049,2671.3640198739863
2020-10-05,EMU,190.94,201.01694586880728,55.11180434048697,215.91568891079947
2020-10-05,Emerging Markets,1091.381,1116.6294604012762,876.6693453133855,1274.2694135751044
2020-10-05,Europe,1625.214,1677.5669810504287,1109.556531978163,1767.0322045367568
2020-10-05,North America,3450.733,2521.958854580531,2338.633850283656,3005.201943350062
2020-10-05,Pacific,2690.586,2631.2209351283273,2124.108015206452,2881.128301143952
2020-10-05,World,2403.5,2377.1360080556933,2028.2985827627247,2668.612445848662
2020-10-06,EMU,191.748,201.0041187487953,55.09897722047498,215.90286179078748
2020-10-06,Emerging Markets,1102.47,1100.448100181726,860.4879850938353,1258.0880533555542
2020-10-06,Europe,1626.057,1678.3292614623213,1110.3188123900556,1767.7944849486494
2020-10-06,North America,3404.21,2512.043741133728,2328.718736836853,2995.286829903259
2020-10-06,Pacific,2704.529,2618.4488415057085,2111.335921583833,2868.356207521333
2020-10-06,World,2382.57,2376.380896993592,2027.5434717006235,2667.857334786561
2020-10-07,EMU,191.287,201.0041187487953,55.09897722047498,215.90286179078748
2020-10-07,Emerging Markets,1107.899,1097.817319999548,857.8572049116574,1255.4572731733763
2020-10-07,Europe,1620.024,1677.5722772354566,1109.561828163191,1767.0375007217847
2020-10-07,North America,3462.703,2519.136946686233,2335.811942389358,3002.380035455764
2020-10-07,Pacific,2705.295,2621.496171158746,2114.383251236871,2871.4035371743707
2020-10-07,World,2409.395,2371.8125794333387,2022.97515414037,2663.2890172263073
